Posição,Nome,Idade,Naturalidade,Patrimonio (R$ bi),Origem,Texto
1,Eduardo Luiz Saverin,43,São Paulo,227.0,Facebook,"Graças à continuidade da valorização das ações da Meta, controladora do Facebook, o patrimônio do brasileiro Eduado Saverin avançou ainda mais. Nos 12 meses até junho de 2025, as cotações subiram 33% em Wall Street e seguiram subindo nas semanas seguintes. Os investidores gostaram da aceleração dos investimentos em inteligência artificial (IA) da empresa fundada por Mark Zuckerberg. Saverin foi sócio da empresa desde o início – o primeiro servidor do Facebook foi instalado na garagem da casa dos pais de Saverin enquanto ambos estavam estudando em Harvard. Residente em Singapura desde 2012, Saverin possui a B Capital, empresa de investimentos focada em startups, e preserva um perfil muito discreto."
2,Vicky Sarfati Safra e família,73,Grécia - naturalizada brasileira,120.5,Banco Safra,"Viúva do banqueiro Joseph Safra, que morreu em dezembro de 2020, Vicky Sarfati herdou cerca de metade da fortuna do empresário, que por muitos anos foi o banqueiro mais rico do mundo. Os demais herdeiros são os filhos: Jacob, Esther, Alberto e David. No início de 2025, Jacob e David compraram a participação de Esther no banco. Alberto já havia se afastado do grupo em 2019 para fundar a gestora ASA. Vicky nasceu na Grécia pouco antes de sua família se mudar para o Brasil."
3,Jorge Paulo Lemann,85,Rio de Janeiro,88.0,"AB InBev, 3G Capital","Jorge Paulo Lemann manteve o terceiro lugar entre os bilionários brasileiros que obteve na edição de 2023. Ele é acionista controlador da gigante cervejeira AB Inbev, além de deter participações em conglomerados internacionais como Restaurant Brands International (Burger King e Tim Hortons). No Brasil, seu império inclui a São Carlos Empreendimentos, que tem como sócios seus filhos e os herdeiros de seus sócios, Marcel Herrmann Telles e Carlos Alberto Sicupira. Em maio de 2025, após três anos sem fechar grandes negócios, a 3G Capital comprou a empresa americana de tênis Skechers por cerca de US$ 9,4 bilhões."
4,André Santos Esteves,57,Rio de Janeiro,51.0,BTG Pactual,"O banco BTG Pactual teve lucro líquido ajustado recorde de R$ 13,4 bilhões nos 12 meses até junho de 2025, um avanço de 22% em relação aos 12 meses anteriores. A valorização de 40,6% das ações nesse período multiplicou a fortuna de Esteves, principal acionista individual da instituição financeira. Em 1989, quando ainda estudava ciência da computação e matemática na Universidade Federal do Rio de Janeiro (UFRJ), ele foi contratado como analista de sistemas do Banco Pactual, que tinha o exministro Paulo Guedes entre seus fundadores. Quatro anos depois, tornou-se sócio. Em 2005, aos 37 anos, entrou no rol dos bilionários, de onde nunca mais saiu."
5,Fernando Roberto Moreira Salles,79,Rio de Janeiro,40.2,"Itaú Unibanco, CBMM","Primogênito do banqueiro Walther Moreira Salles (1912-2001), Fernando é acionista do Itaú Unibanco por meio da Companhia E. Johnston de Participações. Entre as atividades da família está a mineradora Companhia Brasileira de Metalurgia e Mineração (CBMM), líder mundial na produção de nióbio. Em 2022, em um processo de reestruturação, Fernando comprou parte da participação dos irmãos Walther Júnior e João, mais voltados para atividades culturais, e ficou com 50% de participação. A EJ possui cerca de 33% das ações do Itaú."
6,Carlos Alberto da Veiga Sicupira,77,Rio de Janeiro,39.1,"AB InBev, 3G Capital","Assim como os demais sócios da 3G Capital, Sicupira vem enfrentando um cenário desafiador para as atividades da companhia. A empresa foi afetada pela crise da Americanas no início de 2023. No entanto, a participação da empresa de investimentos na AB InBev vem sustentando o patrimônio dos sócios. Após vender sua participação na Kraft Heinz, a 3G Capital permaneceu sem fazer grandes negócios até o início de 2025, quando adquiriu a empresa de calçados Skechers."
7,Pedro Moreira Salles,65,Rio de Janeiro,38.0,"Itaú Unibanco, CBMM","Terceiro filho do banqueiro Walther Moreira Salles, Pedro é copresidente do conselho de administração do Itaú Unibanco. Como os irmãos Fernando, Walther Júnior e João, Pedro é acionista do Itaú Unibanco por meio da Companhia E. Johnston de Participações. Entre as atividades da família está a mineradora Companhia Brasileira de Metalurgia e Mineração (CBMM), líder mundial na produção de nióbio. Em 2022, em um processo de reestruturação, Pedro comprou parte da participação dos irmãos e ficou com 44% de participação na EJ, sendo que seu filho ficou com 6%. A EJ possui cerca de 33% das ações do Itaú Unibanco."
8,Miguel Gellert Krigsner,75,Bolívia - naturalizado brasileiro,34.2,O Boticário,"Krigsner nasceu em La Paz, na Bolívia, filho de pais judeus fugitivos do nazismo. A família mudou-se para Curitiba quando ele tinha 11 anos. Graduou-se em farmácia e bioquímica pela UFPR em 1975 e em 1977 fundou uma farmácia de manipulação que daria origem ao império O Boticário. O empresário foi pioneiro nas franquias. Atualmente a rede controla as marcas Eudora, Quem Disse, Berenice?, Beauty Box, Vult e O.U.i, entre outras. Ao lado do cunhado e sócio Artur Grynbaum, investiu na Cia. Tradicional de Comércio, dona de algumas das redes de bares e restaurantes mais conhecidas de São Paulo, como Pirajá, Lanchonete da Cidade e Bráz Pizzaria. Em julho de 2025, o Boticário recebeu um crédito de R$ 1 bilhão do BNDES para financiar sua expansão."
9,Alex Behring,58,Rio de Janeiro,31.0,3G Capital,"Alexandre Behring é uma figura conhecida no private equity. Formado em engenharia eletrônica, ele foi um dos fundadores da Modus OSI Tecnologias em 1989 e permaneceu na sociedade até 1993. Seu caminho cruzou o dos sócios da 3G durante um MBA em Harvard. Entre 1994 e 2004, foi parceiro da GP Investimentos, por meio da qual chegou ao comando da América Latina Logística (ALL), em 1998. Ele integra o conselhos de administração da Restaurant Brands International, dona das redes Burger King e Tim Hortons."
10,Jorge Neval Moll Filho,79,Rio de Janeiro,30.4,Rede D’Or,"O cardiologista Moll fundou a Rede D’Or em 1977, hoje o maior grupo hospitalar do Brasil, com 69 hospitais próprios e 53 clínicas oncológicas. A empresa fez seu IPO na B3 em 2020, movimentando então R$ 11,3 bilhões. Moll segue como principal acionista da companhia e preside o conselho de administração. A esposa, Alice Junqueira Moll, e seus cinco filhos são acionistas. Em 2025, circularam especulações de uma associação entre a Rede D’Or e a rede de medicina diagnóstica Fleury."
